#,Name,FIled by,"Type: Shelter, Food, Medical, LGBT, Mental health",County,Coordinates,Address,Email Address,Phone Number,Hours,Link,
77,Women's Resource Center,Anandita,Women's Shelter,Aexander,,"125 3rd St NE Hickory, NC 28601",,(828) 322-6333,Mon-Fri- 8am-5pm,http://www.wrchickory.org,
71,Family Abuse Services of Alamance County,Anandita,"Domestic Violence, Shelter",Alamance ,"36.0974° N, 79.4035° W","1950 Martin St, Burlington, NC 27217",,(336) 226-5985,24/7,https://www.familyabuseservices.org/,
72,Kerahs Place - Graham,Anandita,Women's Shelter,Alamance ,,"152 S Main St Graham, NC - 27253",info@kearahsplace.org,336-227-0141,,https://www.kearahsplace.org,
73,Allied Churches of Alamance County,Anandita,Homeless Shleter,Alamance ,,"206 N Fisher St, Burlington NC, 27217",,336-229-0881,,http://alliedchurches.org,
74,Southern Alamance Family Empowerment Food Ministry,Anandita,Food Bank ,Alamance ,,"5950 HWY 87 S. Graham, NC 27253",,336-525-2120,,https://www.safealamance.org/,
75,Dream Align Ministries ,Anandita,Food Bank ,Alamance ,,"124 East Pine Street, Graham, NC, 27253",,336) 270-5238,,http://www.DreamAlign.com,
76,Domestic Violence Resource Centre of Alexander County,Anandita,Domestic Violence,Alexander,,Resource Centre (Doesnt seem to have an address) ,,828-632-4658,Mon-Fri- 8am-5pm,https://dvrc.wordpress.com/,
78,Mt Pisgah Lutheran Church,Anandita,Food pantry,Alexander,,"9379 NC-127 Taylorsville, NC 28681",,(828) 495-8251,,http://mtpisgahelca.org/,
78,Domestic Abuse is Not Acceptable (DANA),Anandita,Domestic Violence,Alleghany ,,"PO Box 1643 Sparta, NC - 28675",,336) 372-2846,,https://www.danaservices.org/,
79,Echo Ministry,Anandita,Homeless Shleter,Alleghany ,,"130 Hill St, Elkin, NC 28621",,336-527-1637,,https://www.thearkelkin.org/,
80,Catherine H Barber Memorial Shelter,Anandita,Homeless Shleter,Alleghany ,,"86 Sparta Rd, North Wilkesboro, NC 28659",,(336) 838-7120,,,
81,Daymark Recovery Services,Anandita,Mental health service ,Alleghany ,,"1650 NC-18, Sparta, NC 28675",,336-372-4095,Mon-Fri 8am-5pm,http://www.daymarkrecovery.org/locations/alleghany-center,
82,Anson County Domestic Violence Coalition,Anandita,Domestic Violence ,Anson,,"Po Box 694 Wadesboro, NC - 28170",,(704) 694-4499,Mon-Fri 8am-5pm,,
83,House of Hope in Anson County,Anandita,"Homeless Shleter, Men only",Anson,,Address not listed ,,704-694-8286,,,
85,Feed My Lambs Inc,Anandita,Food Pantry,Anson,,"2290 US-74, Wadesboro, NC 28170",,(704) 695-1820,,http://www.feedmylambs.org,
86,Providence Church,Anandita,Crisis Assistance Food Pantry,Anson,,"12474 North Carolina 24-27 Hwy, Locust, NC 28097",,(704) 888-5697,,http://www.providencecog.org,
87,Matthews Help Center & Thrift Shop,Anandita,Food Assistance,Anson,,"119 N Ames St,Matthews, NC 28105",,(704) 847-8383,,http://www.matthewshelpcenter.org,
88,Daymark Recovery Services,Anandita,Mental Health,Anson,,"704 Old Lilesville Road, Wadesboro, NC 28170",,704.694.6588,,http://daymarkrecovery.org/locations/anson-center,
84,Anson Crisis Ministry ,Anandita,Crisis Assistance ,Anson ,,"117 North Rutherford Street, Wadesboro, NC 28170",,704-694-2445,,http://www.ansoncrisisministry.org/,
